date,2021-10-23

ArrList,64,31.25,ns/add
ArrList,128,7.81,ns/add
ArrList,256,7.81,ns/add
ArrList,512,7.81,ns/add
ArrList,768,6.51,ns/add
ArrList,1024,3.91,ns/add
ArrList,16384,6.53,ns/add
ArrList,131072,5.93,ns/add
ArrList,262144,7.19,ns/add
ArrList,524288,6.88,ns/add
ArrList,1048576,7.89,ns/add
kvec_t,64,31.25,ns/add
kvec_t,128,0.00,ns/add
kvec_t,256,3.91,ns/add
kvec_t,512,3.91,ns/add
kvec_t,768,2.60,ns/add
kvec_t,1024,2.93,ns/add
kvec_t,16384,2.38,ns/add
kvec_t,131072,2.30,ns/add
kvec_t,262144,2.29,ns/add
kvec_t,524288,2.29,ns/add
kvec_t,1048576,2.30,ns/add
GArray,64,15.62,ns/add
GArray,128,15.62,ns/add
GArray,256,7.81,ns/add
GArray,512,7.81,ns/add
GArray,768,9.11,ns/add
GArray,1024,8.79,ns/add
GArray,16384,8.12,ns/add
GArray,131072,8.25,ns/add
GArray,262144,8.12,ns/add
GArray,524288,8.11,ns/add
GArray,1048576,6.55,ns/add
RhMap,64,171.88,ns/ins
RhMap,64,78.12,ns/del
RhMap,128,156.25,ns/ins
RhMap,128,62.50,ns/del
RhMap,256,160.16,ns/ins
RhMap,256,66.41,ns/del
RhMap,512,384.77,ns/ins
RhMap,512,302.73,ns/del
RhMap,768,605.47,ns/ins
RhMap,768,600.26,ns/del
RhMap,1024,505.86,ns/ins
RhMap,1024,76.17,ns/del
RhMap,16384,1759.28,ns/ins
RhMap,16384,741.15,ns/del
RhMap,131072,1857.20,ns/ins
RhMap,131072,108.05,ns/del
RhMap,262144,1889.29,ns/ins
RhMap,262144,432.36,ns/del
RhMap,524288,1430.03,ns/ins
RhMap,524288,204.72,ns/del
RhMap,1048576,5898.21,ns/ins
RhMap,1048576,1224.58,ns/del
khash_t,64,187.50,ns/ins
khash_t,64,31.25,ns/del
khash_t,128,117.19,ns/ins
khash_t,128,31.25,ns/del
khash_t,256,101.56,ns/ins
khash_t,256,35.16,ns/del
khash_t,512,146.48,ns/ins
khash_t,512,52.73,ns/del
khash_t,768,145.83,ns/ins
khash_t,768,61.20,ns/del
khash_t,1024,184.57,ns/ins
khash_t,1024,46.88,ns/del
khash_t,16384,186.89,ns/ins
khash_t,16384,61.04,ns/del
khash_t,131072,316.80,ns/ins
khash_t,131072,56.06,ns/del
khash_t,262144,310.70,ns/ins
khash_t,262144,86.52,ns/del
khash_t,524288,286.20,ns/ins
khash_t,524288,59.66,ns/del
khash_t,1048576,314.61,ns/ins
khash_t,1048576,61.37,ns/del
hsearch,64,46.88,ns/ins
hsearch,128,31.25,ns/ins
hsearch,256,27.34,ns/ins
hsearch,512,29.30,ns/ins
hsearch,768,33.85,ns/ins
hsearch,1024,33.20,ns/ins
hsearch,16384,40.95,ns/ins
hsearch,131072,86.68,ns/ins
hsearch,262144,237.42,ns/ins
hsearch,524288,228.24,ns/ins
hsearch,1048576,336.97,ns/ins
GHashTable,64,171.88,ns/ins
GHashTable,64,78.12,ns/del
GHashTable,128,85.94,ns/ins
GHashTable,128,54.69,ns/del
GHashTable,256,74.22,ns/ins
GHashTable,256,54.69,ns/del
GHashTable,512,78.12,ns/ins
GHashTable,512,56.64,ns/del
GHashTable,768,55.99,ns/ins
GHashTable,768,48.18,ns/del
GHashTable,1024,70.31,ns/ins
GHashTable,1024,55.66,ns/del
GHashTable,16384,71.17,ns/ins
GHashTable,16384,51.76,ns/del
GHashTable,131072,82.60,ns/ins
GHashTable,131072,55.60,ns/del
GHashTable,262144,89.36,ns/ins
GHashTable,262144,73.15,ns/del
GHashTable,524288,110.95,ns/ins
GHashTable,524288,73.71,ns/del
GHashTable,1048576,130.25,ns/ins
GHashTable,1048576,103.54,ns/del
