date,2021-10-23

ArrList,add,64,46.88,496
ArrList,add,128,7.81,1104
ArrList,add,256,7.81,2288
ArrList,add,512,7.81,5120
ArrList,add,768,6.51,7920
ArrList,add,1024,4.88,10032
ArrList,add,16384,6.59,136960
ArrList,add,131072,6.03,4294967264
ArrList,add,262144,7.04,4294967264
ArrList,add,524288,7.20,4294967264
ArrList,add,1048576,12.89,4294967264
kvec_t,add,64,31.25,272
kvec_t,add,128,7.81,528
kvec_t,add,256,3.91,1040
kvec_t,add,512,3.91,2064
kvec_t,add,768,2.60,4112
kvec_t,add,1024,2.93,4112
kvec_t,add,16384,2.26,65552
kvec_t,add,131072,2.22,524304
kvec_t,add,262144,2.29,1048592
kvec_t,add,524288,2.61,2097168
kvec_t,add,1048576,5.54,4194320
GArray,add,64,31.25,272
GArray,add,128,23.44,528
GArray,add,256,11.72,1040
GArray,add,512,11.72,2064
GArray,add,768,10.42,4112
GArray,add,1024,10.74,4112
GArray,add,16384,8.18,65552
GArray,add,131072,7.16,524304
GArray,add,262144,7.16,1048592
GArray,add,524288,7.05,2097168
GArray,add,1048576,7.16,4194320
CC_Array,add,64,46.88,144
CC_Array,add,128,15.62,0
CC_Array,add,256,7.81,2064
CC_Array,add,512,9.77,4112
CC_Array,add,768,10.42,8208
CC_Array,add,1024,11.72,8208
CC_Array,add,16384,6.65,131088
CC_Array,add,131072,5.70,1048592
CC_Array,add,262144,5.77,2097168
CC_Array,add,524288,8.85,4194320
CC_Array,add,1048576,11.54,8388624
RhMap,ins,64,187.50,3872
RhMap,del,64,93.75,0
RhMap,ins,128,179.69,6944
RhMap,del,128,78.12,0
RhMap,ins,256,187.50,13088
RhMap,del,256,78.12,0
RhMap,ins,512,462.89,25376
RhMap,del,512,375.00,0
RhMap,ins,768,679.69,25376
RhMap,del,768,759.11,0
RhMap,ins,1024,566.41,49952
RhMap,del,1024,88.87,0
RhMap,ins,16384,1317.57,786832
RhMap,del,16384,706.12,0
RhMap,ins,131072,1847.23,6291072
RhMap,del,131072,104.57,0
RhMap,ins,262144,2100.56,4294966896
RhMap,del,262144,534.84,0
RhMap,ins,524288,1552.15,4294966896
RhMap,del,524288,301.47,0
RhMap,ins,1048576,6008.45,4294966896
RhMap,del,1048576,1351.41,0
khash_t,ins,64,234.38,3008
khash_t,del,64,46.88,0
khash_t,ins,128,125.00,6240
khash_t,del,128,46.88,0
khash_t,ins,256,117.19,9824
khash_t,del,256,42.97,0
khash_t,ins,512,187.50,13696
khash_t,del,512,60.55,0
khash_t,ins,768,171.88,14816
khash_t,del,768,70.31,0
khash_t,ins,1024,185.55,25232
khash_t,del,1024,58.59,0
khash_t,ins,16384,231.75,403264
khash_t,del,16384,70.98,0
khash_t,ins,131072,324.05,3212752
khash_t,del,131072,59.99,0
khash_t,ins,262144,327.70,6423584
khash_t,del,262144,64.78,0
khash_t,ins,524288,309.41,12846064
khash_t,del,524288,60.79,0
khash_t,ins,1048576,398.61,25691008
khash_t,del,1048576,74.91,0
hsearch,ins,64,46.88,0
hsearch,ins,128,31.25,0
hsearch,ins,256,31.25,0
hsearch,ins,512,37.11,0
hsearch,ins,768,37.76,0
hsearch,ins,1024,46.88,0
hsearch,ins,16384,53.83,0
hsearch,ins,131072,216.34,0
hsearch,ins,262144,307.72,0
hsearch,ins,524288,484.85,0
hsearch,ins,1048576,417.15,0
GHashTable,ins,64,171.88,2368
GHashTable,del,64,93.75,4294967232
GHashTable,ins,128,93.75,4048
GHashTable,del,128,62.50,4294967168
GHashTable,ins,256,89.84,8240
GHashTable,del,256,58.59,4294963968
GHashTable,ins,512,82.03,16336
GHashTable,del,512,62.50,4294953088
GHashTable,ins,768,61.20,16336
GHashTable,del,768,52.08,4294951040
GHashTable,ins,1024,76.17,32720
GHashTable,del,1024,59.57,4294934656
GHashTable,ins,16384,74.34,524240
GHashTable,del,16384,125.67,4294443136
GHashTable,ins,131072,119.11,4194256
GHashTable,del,131072,95.92,4290773120
GHashTable,ins,262144,135.55,8388560
GHashTable,del,262144,130.65,4286578816
GHashTable,ins,524288,147.65,16777168
GHashTable,del,524288,94.33,4278190208
GHashTable,ins,1048576,148.21,33554384
GHashTable,del,1048576,98.92,4261412992
CC_HashTable,ins,64,187.50,6752
CC_HashTable,del,64,187.50,4294964512
CC_HashTable,ins,128,179.69,13920
CC_HashTable,del,128,62.50,4294961440
CC_HashTable,ins,256,125.00,28256
CC_HashTable,del,256,54.69,4294955296
CC_HashTable,ins,512,113.28,56928
CC_HashTable,del,512,97.66,4294943008
CC_HashTable,ins,768,151.04,69216
CC_HashTable,del,768,61.20,4294930720
CC_HashTable,ins,1024,138.67,114288
CC_HashTable,del,1024,57.62,4294918416
CC_HashTable,ins,16384,106.32,1834640
CC_HashTable,del,16384,58.47,4294181104
CC_HashTable,ins,131072,152.56,14679680
CC_HashTable,del,131072,76.19,4288676096
CC_HashTable,ins,262144,209.31,29359744
CC_HashTable,del,262144,73.97,4282384640
CC_HashTable,ins,524288,177.61,25165424
CC_HashTable,del,524288,77.97,4269801728
CC_HashTable,ins,1048576,184.75,50331264
CC_HashTable,del,1048576,83.40,4244635888
